trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
33,13:23:00,13:23:00,9,5,0,0,40.2500
33,13:31:00,13:31:00,71,6,0,0,46.3129
33,13:41:00,13:41:00,28,7,0,0,53.5366
33,14:11:00,14:11:00,1,8,0,0,67.6542
34,12:29:00,12:29:00,10,1,0,0,0.0000
34,12:38:00,12:38:00,2,2,0,0,5.8930
34,12:48:00,12:48:00,39,3,0,0,16.4197
34,12:59:00,12:59:00,55,4,0,0,27.2917
34,13:12:00,13:12:00,9,5,0,0,40.2500
34,13:20:00,13:20:00,71,6,0,0,46.3129
34,13:30:00,13:30:00,28,7,0,0,53.5366
34,14:00:00,14:00:00,1,8,0,0,67.6542
35,14:43:00,14:43:00,10,1,0,0,0.0000
35,14:52:00,14:52:00,2,2,0,0,5.8930
35,15:03:00,15:03:00,39,3,0,0,16.4197
35,15:14:00,15:14:00,55,4,0,0,27.2917
35,15:31:00,15:31:00,9,5,0,0,40.2500
35,15:39:00,15:39:00,71,6,0,0,46.3129
35,15:49:00,15:49:00,28,7,0,0,53.5366
35,16:19:00,16:19:00,1,8,0,0,67.6542
36,14:46:00,14:46:00,10,1,0,0,0.0000
36,14:55:00,14:55:00,2,2,0,0,5.8930
36,15:06:00,15:06:00,39,3,0,0,16.4197
36,15:17:00,15:17:00,55,4,0,0,27.2917
36,15:30:00,15:30:00,9,5,0,0,40.2500
36,15:38:00,15:38:00,71,6,0,0,46.3129
36,15:51:00,15:51:00,28,7,0,0,53.5366
36,16:20:00,16:20:00,1,8,0,0,67.6542
37,15:38:00,15:38:00,10,1,0,0,0.0000
37,15:47:00,15:47:00,2,2,0,0,5.8930
37,15:58:00,15:58:00,39,3,0,0,16.4197
37,16:09:00,16:09:00,55,4,0,0,27.2917
37,16:22:00,16:22:00,9,5,0,0,40.2500
37,16:29:00,16:29:00,71,6,0,0,46.3129
37,16:40:00,16:40:00,28,7,0,0,53.5366
37,17:10:00,17:10:00,1,8,0,0,67.6542
38,15:36:00,15:36:00,10,1,0,0,0.0000
38,15:45:00,15:45:00,2,2,0,0,5.8930
38,15:56:00,15:56:00,39,3,0,0,16.4197
38,16:07:00,16:07:00,55,4,0,0,27.2917
38,16:24:00,16:24:00,9,5,0,0,40.2500
38,16:32:00,16:32:00,71,6,0,0,46.3129
38,16:42:00,16:42:00,28,7,0,0,53.5366
38,17:14:00,17:14:00,1,8,0,0,67.6542
39,16:38:00,16:38:00,10,1,0,0,0.0000
39,16:47:00,16:47:00,2,2,0,0,5.8930
39,16:58:00,16:58:00,39,3,0,0,16.4197
39,17:09:00,17:09:00,55,4,0,0,27.2917
39,17:22:00,17:22:00,9,5,0,0,40.2500
39,17:30:00,17:30:00,71,6,0,0,46.3129
39,17:40:00,17:40:00,28,7,0,0,53.5366
39,18:10:00,18:10:00,1,8,0,0,67.6542
40,16:42:00,16:42:00,10,1,0,0,0.0000
40,16:51:00,16:51:00,2,2,0,0,5.8930
40,17:02:00,17:02:00,39,3,0,0,16.4197
40,17:13:00,17:13:00,55,4,0,0,27.2917
40,17:26:00,17:26:00,9,5,0,0,40.2500
40,17:34:00,17:34:00,71,6,0,0,46.3129
40,17:44:00,17:44:00,28,7,0,0,53.5366
40,18:16:00,18:16:00,1,8,0,0,67.6542
41,17:48:00,17:48:00,10,1,0,0,0.0000
41,17:57:00,17:57:00,2,2,0,0,5.8930
