service_id,date,exception_type
27,20130314,1
27,20130315,1
27,20130318,1
27,20130319,1
27,20130320,1
27,20130321,1
27,20130322,1
27,20130325,1
27,20130326,1
27,20130327,1
27,20130328,1
27,20130329,1
27,20130401,1
27,20130402,1
27,20130403,1
27,20130404,1
27,20130405,1
27,20130408,1
27,20130409,1
27,20130410,1
27,20130411,1
27,20130412,1
27,20130415,1
27,20130416,1
27,20130417,1
27,20130418,1
27,20130419,1
27,20130422,1
27,20130423,1
27,20130424,1
27,20130425,1
27,20130426,1
27,20130429,1
27,20130430,1
27,20130501,1
27,20130502,1
27,20130503,1
27,20130506,1
27,20130507,1
27,20130508,1
27,20130509,1
27,20130510,1
27,20130513,1
27,20130514,1
27,20130515,1
27,20130516,1
27,20130517,1
27,20130520,1
27,20130521,1
27,20130522,1
27,20130523,1
27,20130524,1
27,20130527,1
27,20130528,1
27,20130529,1
27,20130530,1
27,20130531,1
27,20130603,1
27,20130604,1
27,20130605,1
27,20130606,1
27,20130607,1
27,20130610,1
27,20130611,1
27,20130612,1
27,20130613,1
27,20130614,1
27,20130617,1
27,20130618,1
27,20130619,1
27,20130620,1
27,20130621,1
27,20130624,1
27,20130625,1
27,20130626,1
27,20130627,1
27,20130628,1
27,20130701,1
27,20130702,1
27,20130703,1
27,20130704,1
27,20130705,1
27,20130708,1
28,20130112,1
28,20130119,1
28,20130126,1
28,20130202,1
28,20130209,1
28,20130216,1
28,20130223,1
28,20130302,1
28,20130309,1
28,20130316,1
28,20130323,1
28,20130330,1
28,20130406,1
28,20130413,1
28,20130420,1
28,20130427,1
28,20130504,1
28,20130511,1
28,20130518,1
28,20130525,1
28,20130601,1
28,20130608,1
28,20130615,1
28,20130622,1
28,20130629,1
28,20130706,1
29,20130113,1
29,20130120,1
29,20130121,1
29,20130127,1
29,20130203,1
29,20130210,1
29,20130217,1
29,20130224,1
29,20130303,1
29,20130310,1
29,20130317,1
29,20130324,1
29,20130331,1
29,20130407,1
29,20130414,1
29,20130421,1
29,20130428,1
29,20130505,1
29,20130512,1
29,20130519,1
29,20130526,1
29,20130602,1
29,20130609,1
29,20130616,1
29,20130623,1
29,20130630,1
29,20130707,1
